Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P
2027;38.6;0;0;0.087;0;0;0;0;0.028;0.094;0.044;5;0.087;0;0.022;0;0.022;0.023;0.049;0;5;0.073;0;0.033;0;0.033;0.011;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2028;41.4;0;0;0.087;0;0;0;0;0.028;0.094;0.044;5;0.087;0;0.022;0;0.022;0.023;0.049;0;5;0.073;0;0.033;0;0.033;0.011;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2029;44.3;0;0;0.087;0;0;0;0;0.03;0.094;0.044;5;0.087;0;0.022;0;0.022;0.025;0.049;0;5;0.073;0;0.033;0;0.033;0.012;0.013;0;5;0.071;0;0.001;0;0.001;0;0.001;0;5
2030;47.1;0;0;0.087892873;0;0.006;0;0.006;0.031;0.094;0.049;5;0.087892873;0;0.028;0;0.028;0.026;0.049;0;5;0.069539411;0;0.039;0;0.039;0.012;0.013;0;5;0.069539411;0;0.007;0;0.007;0;0.001;0;5
2031;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2032;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2033;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2034;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2035;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2036;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2037;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2038;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2039;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2040;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2041;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2042;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2043;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2044;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2045;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2046;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2047;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2048;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2049;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2050;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2051;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2052;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2053;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2054;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2055;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2056;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2057;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2058;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2059;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2060;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2061;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2062;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2063;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2064;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2065;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2066;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2067;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2068;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2069;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2070;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2071;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2072;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2073;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2074;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2075;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2076;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2077;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2078;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2079;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
2080;47.1;0;0;0.102;0;0.006;0;0.006;0.031;0.094;0.049;5;0.102;0;0.028;0;0.028;0.026;0.049;0;5;0.081;0;0.039;0;0.039;0.012;0.013;0;5;0.078;0;0.007;0;0.007;0;0.001;0;5
